Dataset
N2 1 on food R_2011_06_01__12_21_58___1___2
N2 4 on food L_2011_05_26__12_16___3___2
N2 on food L_2010_07_22__11_04_54___6___1
N2 on food L_2010_07_27__10_25_17___6___1
N2 on food L_2010_07_29__10_54_44___6___1
N2 on food L_2010_08_05__10_45_25___6___1
N2 on food L_2010_08_20__10_15_21___6___1
N2 on food L_2010_09_10__11_26_05___6___1
N2 on food L_2010_09_17__11_15_30___6___1
N2 on food L_2010_10_01__11_45_22___6___1
N2 on food L_2010_10_15__11_25_53___6___2
N2 on food L_2010_10_15__12_05_04___6___4
N2 on food L_2010_10_15__12_45_46___6___6
N2 on food L_2010_10_15__15_34_32___6___10
N2 on food L_2010_10_21__13_05_43___6___
N2 on food L_2010_10_28__15_50_45___6___10
N2 on food L_2010_12_14__12_04_38___6___3
N2 on food L_2011_02_22__12_56_13__3
N2 on food L_2011_02_24__16_00_59___1___7
N2 on food L_2011_03_08__17_05_55___7___13
N2 on food L_2011_04_12__15_08_58___6___7
N2 on food L_2011_04_13__12_32_22__7
N2 on food L_2011_05_12__12_20_08___6___6
N2 on food L_2011_06_07__13_05_32___6___8
N2 on food L_2011_06_09__11_50_08___6___5
N2 on food L_2011_08_04__10_30_23___6___1
N2 on food L_2011_08_04__13_19_09__8
N2 on food L_2011_08_09__11_12_43___6___3
N2 on food L_2011_08_19__12_40_17___2___7
N2 on food L_2011_08_19__15_40_56___6___11
N2 on food L_2011_08_31__13_15_04___1___6
N2 on food L_2011_09_02__15_49_17___6___3
N2 on food L_2011_09_06__15_50_12___6___7
N2 on food L_2011_09_20__12_20_04___6___4
N2 on food L_2011_09_22__13_10_06___6___7
N2 on food L_2011_10_06__12_52_32___6___7
N2 on food L_2011_10_13__14_55_41___2___7
N2 on food L_2011_11_04__11_25_38___6___5
N2 on food L_2012_02_09__10_54_32___6___2
N2 on food L_2012_02_22__10_38_21___6___2
N2 on food L_2012_03_08__13_33_30___6___7
N2 on food L_2012_08_29__12_13_17___5___1
N2 on food L_2012_08_31__11_22_58___4___4
N2 on food L_2012_08_31__14_34_41___4___12
N2 on food L_2012_09_25__10_36_07___4___1
N2 on food L_2012_10_23__10_07_11___5___3
N2 on food L_2012_10_25__13_27_02___4___8
N2 on food L_2012_10_31__09_58_14___4___1
N2 on food L_2012_10_31__10_22_34___5___2
N2 on food L_2013_02_28__12_03_17___4___4
N2 on food L_2013_03_26__10_28_43___5___5
N2 on food L_2013_04_25__10_31_15___5___1
N2 on food L_2015_02_06__11_26_31___4___1
N2 on food L_2015_03_12__12_01_39___4___3
N2 on food L_2015_03_19__13_01_23___4___6
N2 on food L_2015_05_01__15_59_40___4___5
N2 on food L_2015_07_21__15_26_32___4___1
N2 on food L_2015_09_02__16_24_34___4___6
N2 on food L_2015_09_03__16_41_06___4___2
N2 on food L_2015_09_10__11_40_15___4___4
N2 on food L_2015_09_11__13_27_35___4___8
N2 on food L_2015_11_11__15_00_10___4___1
N2 on food L_2015_11_17__14_46_12___4___1
N2 on food L_2016_01_14__16_16_58___4___4
N2 on food L_2016_02_04__13_09_58___4___7
N2 on food L_2016_02_10__14_37_54___4___2
N2 on food L_2016_02_10__15_15_47___4___4
N2 on food L_2016_02_16__15_05_00___4___2
N2 on food L_2016_02_24__16_38_22___4___4
N2 on food R1_2014_12_10__13_29_04___4___4
N2 on food R_2010_08_06__10_55_07___6___1
N2 on food R_2010_08_19__10_55_18___6___1
N2 on food R_2010_09_30__10_26_02___6___1
N2 on food R_2010_10_15__11_45_24___6___3
N2 on food R_2010_11_11__11_28_15___6___2
N2 on food R_2010_12_16__15_45_34___6___7
N2 on food R_2011_02_04__12_25_29___1___6
N2 on food R_2011_03_30__12_16_56__3
N2 on food R_2011_04_13__10_44_27___1___1
N2 on food R_2011_06_07__10_57_18___1___2
N2 on food R_2011_06_14__15_13_55___6___11
N2 on food R_2011_06_30__11_18_59___6___5
N2 on food R_2011_08_31__11_30_04___6___1
N2 on food R_2011_09_13__12_59_36___6___6
N2 on food R_2011_10_04__16_02_33___6___6
N2 on food R_2011_10_06__11_32_23___2___3
N2 on food R_2011_10_13__12_13_05___6___3
N2 on food R_2011_10_21__12_38_02___6___8
N2 on food R_2011_11_09__12_03_08___6___6
N2 on food R_2011_11_10__10_36_22___6___2
N2 on food R_2011_11_11__13_13_08___6___4
N2 on food R_2012_02_23__12_21_17___6___3
N2 on food R_2012_03_15__11_14_40___6___6
N2 on food R_2012_08_01__12_17_10___5___5
N2 on food R_2012_08_30__14_39_46___4___8
N2 on food R_2012_09_04__10_09_39___4___1
N2 on food R_2012_09_21__12_28_16___4___1
N2 on food R_2012_09_21__12_51_05___5___2
